city,cityLabel,city_population,city_coordinate_location,sister,sisterLabel,sister_population,sister_coordinate_location
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,32707,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,33400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,34022,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,34859,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12500,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12600,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12700,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,14000,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,17800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,23100,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,29883,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,30874,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,31650,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,32707,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,33400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,34022,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,34859,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q234728,Vanves,27466,Point(2.288888888 48.82)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12500,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12600,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12700,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,14000,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,17800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,23100,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,29883,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,30874,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,31650,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,32707,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q706161,Cixi,1502000,Point(121.266462 30.169699)
http://www.wikidata.org/entity/Q181966,Naha,316048,Point(127.678888888 26.212222222),http://www.wikidata.org/entity/Q174,San Paolo,12325232,Point(-46.633947222 -23.550394444)
http://www.wikidata.org/entity/Q182025,Aksaray,295351,Point(34.0297 38.3686),http://www.wikidata.org/entity/Q641,Venezia,261321,Point(12.331944444 45.439722222)
http://www.wikidata.org/entity/Q180522,Aqaba,140000,Point(35.0 29.516666666),http://www.wikidata.org/entity/Q656,San Pietroburgo,5384342,Point(30.25 59.91667)
